device=cuda  true-data baseline = 20.1490  (0.0 min)
  seed0 UNF g0: offman=20.3693  (22.7 min)
  seed0 UNF g1: offman=20.7590  (45.1 min)
  seed0 UNF g2: offman=20.9482  (67.5 min)
  seed0 UNF g3: offman=24.1950  (89.9 min)
  seed0 UNF g4: offman=22.4064  (112.2 min)
  seed0 UNF g5: offman=21.5588  (134.6 min)
  seed0 UNF g6: offman=23.6090  (156.9 min)
  seed0 UNF g7: offman=21.6922  (179.3 min)
  seed0 FIX g0: offman=18.4863  (205.9 min)
  seed0 FIX g1: offman=17.7967  (232.4 min)
  seed0 FIX g2: offman=16.1853  (258.8 min)
  seed0 FIX g3: offman=16.9317  (285.3 min)
  seed0 FIX g4: offman=16.9281  (311.1 min)
  seed0 FIX g5: offman=16.2968  (336.3 min)
  seed0 FIX g6: offman=16.1844  (361.4 min)
  seed0 FIX g7: offman=16.3205  (386.4 min)
  seed1 UNF g0: offman=20.5738  (409.2 min)
  seed1 UNF g1: offman=22.4452  (432.0 min)
  seed1 UNF g2: offman=22.3693  (454.9 min)
  seed1 UNF g3: offman=23.7238  (477.8 min)
  seed1 UNF g4: offman=22.8924  (500.9 min)
  seed1 UNF g5: offman=25.3032  (523.9 min)
  seed1 UNF g6: offman=25.2588  (547.0 min)
  seed1 UNF g7: offman=23.8071  (570.4 min)
  seed1 FIX g0: offman=15.9864  (595.9 min)
  seed1 FIX g1: offman=15.9193  (621.5 min)
  seed1 FIX g2: offman=14.8740  (648.1 min)
  seed1 FIX g3: offman=15.6840  (674.7 min)
  seed1 FIX g4: offman=15.5338  (700.5 min)
  seed1 FIX g5: offman=16.3904  (725.9 min)
  seed1 FIX g6: offman=16.0388  (750.7 min)
  seed1 FIX g7: offman=15.5606  (775.6 min)
  seed2 UNF g0: offman=22.0095  (798.3 min)
  seed2 UNF g1: offman=22.8561  (821.0 min)
  seed2 UNF g2: offman=22.3604  (843.7 min)
  seed2 UNF g3: offman=22.4769  (866.5 min)
  seed2 UNF g4: offman=23.9381  (889.3 min)
device=cuda  true-data baseline = 20.1490  (0.0 min)
  seed2 UNF g5: offman=22.0913  (23.0 min)
  seed2 UNF g6: offman=21.5545  (46.5 min)
  seed2 UNF g7: offman=21.6605  (69.9 min)
  seed2 FIX g0: offman=16.7197  (97.8 min)
  seed2 FIX g1: offman=15.9353  (127.9 min)
  seed2 FIX g2: offman=15.8137  (155.6 min)
  seed2 FIX g3: offman=17.4464  (183.1 min)
  seed2 FIX g4: offman=16.6250  (209.1 min)
  seed2 FIX g5: offman=16.9882  (234.4 min)
  seed2 FIX g6: offman=16.4627  (259.5 min)
  seed2 FIX g7: offman=16.3018  (284.6 min)
